gene	cluster	cell_type	auc	wilcox_pvalue	ttest_pvalue	pct_nonzero	pct_nonzero_other	log2FC	
24	HLA-DRA	C-F2	Fibroblast	0.783252238	1.67E-108	3.64E-118	0.806629834	0.331365936	4.244527377
25	HLA-B	C-F2	Fibroblast	0.775180979	8.60E-91	3.70E-73	0.998618785	0.990725126	1.159960303
26	CXCL12	C-F2	Fibroblast	0.774106053	2.00E-90	6.70E-118	0.991712707	0.756323777	3.718287065
27	HLA-DPA1	C-F2	Fibroblast	0.770672813	3.86E-98	1.77E-105	0.802486188	0.357504216	3.804736227
28	HLA-DRB1	C-F2	Fibroblast	0.769543151	4.10E-98	1.47E-103	0.79281768	0.346543002	4.031990298
29	PLAU	C-F2	Fibroblast	0.761091649	1.02E-88	1.23E-99	0.832872928	0.413153457	3.769165458
30	HLA-A	C-F2	Fibroblast	0.759856009	3.62E-81	4.44E-67	0.998618785	0.984822934	1.021985002
31	IFI27	C-F2	Fibroblast	0.759546225	1.10E-81	8.60E-72	0.930939227	0.709106239	2.73779646
32	B2M	C-F2	Fibroblast	0.758772931	1.65E-80	8.24E-80	1	0.99915683	0.72385413
33	HLA-DPB1	C-F2	Fibroblast	0.758611052	1.15E-88	1.11E-89	0.790055249	0.392917369	3.598751895
34	MDK	C-F2	Fibroblast	0.758421804	1.69E-87	1.54E-114	0.854972376	0.382799325	3.964275652
35	ZFP36L1	C-F2	Fibroblast	0.752507384	9.52E-77	3.02E-75	1	0.956998314	1.554415159
36	IFI30	C-F2	Fibroblast	0.745953015	3.10E-85	1.03E-87	0.737569061	0.308600337	3.371092543
37	STAT1	C-F2	Fibroblast	0.745357905	9.62E-74	1.58E-72	0.908839779	0.646711636	2.757471826
38	LOXL1	C-F2	Fibroblast	0.743726883	7.08E-77	5.19E-91	0.839779006	0.434232715	3.373331722
39	BGN	C-F2	Fibroblast	0.740468332	8.47E-70	4.43E-74	0.997237569	0.891231029	2.056204652
40	C1S	C-F2	Fibroblast	0.740419419	9.50E-70	1.17E-55	0.998618785	0.993254637	0.752367813
41	ASPN	C-F3	Fibroblast	0.855167981	6.96E-75	2.11E-68	0.916666667	0.495243757	5.58450297
42	DKK3	C-F3	Fibroblast	0.818996808	3.37E-83	4.00E-56	0.802631579	0.231272295	4.935193262
43	MAMDC2	C-F3	Fibroblast	0.778763012	1.81E-46	1.38E-46	0.885964912	0.513079667	3.617581104
44	ABHD2	C-F3	Fibroblast	0.775695183	4.39E-43	1.79E-32	0.890350877	0.649227111	2.770621042
45	PRELP	C-F3	Fibroblast	0.771590838	3.19E-41	1.73E-41	0.942982456	0.711652794	3.376776377
46	COL5A1	C-F3	Fibroblast	0.759992282	2.31E-37	9.22E-44	0.98245614	0.85136742	2.176352235
47	EMP1	C-F3	Fibroblast	0.75796097	8.10E-37	1.64E-30	0.964912281	0.848394768	1.97702197
48	ANGPTL1	C-F3	Fibroblast	0.755316874	1.83E-36	3.01E-26	0.912280702	0.744946492	2.382934147
49	CADM1	C-F3	Fibroblast	0.754990926	2.82E-60	1.99E-34	0.657894737	0.198573127	3.904279914
50	FMOD	C-F3	Fibroblast	0.748580168	1.19E-36	8.17E-30	0.842105263	0.55469679	3.106745378
51	OGN	C-F3	Fibroblast	0.747611448	8.39E-35	6.75E-35	0.921052632	0.678359096	3.067761577
52	PDGFRB	C-F3	Fibroblast	0.746569717	3.25E-34	7.10E-48	0.960526316	0.720570749	2.532248653
53	CD109	C-F3	Fibroblast	0.744597075	2.40E-37	1.41E-34	0.828947368	0.468489893	2.94295656
54	MYADM	C-F3	Fibroblast	0.742895623	8.61E-33	2.38E-25	0.969298246	0.884066587	1.767944046
55	AHNAK	C-F3	Fibroblast	0.742383232	1.27E-32	1.39E-35	1	0.985136742	0.865491276
56	VIM	C-F3	Fibroblast	0.740843451	3.12E-32	1.17E-35	1	1	0.604679247
57	COL8A2	C-F3	Fibroblast	0.734484845	2.89E-46	6.24E-29	0.649122807	0.246730083	3.215315543
58	CAMK1D	C-F3	Fibroblast	0.733443113	2.05E-31	1.57E-48	0.942982456	0.637336504	2.826873591
59	DPT	C-F3	Fibroblast	0.733439201	1.93E-30	4.06E-45	0.986842105	0.858501784	2.224081214
60	COMP	C-F3	Fibroblast	0.733205822	3.78E-40	2.08E-30	0.719298246	0.317479191	4.215885298
61	PRG4	C-F4	Fibroblast	0.958496325	1.14E-181	5.09E-256	1	0.966442953	3.330670049
62	FN1	C-F4	Fibroblast	0.941701822	9.49E-169	3.41E-291	1	0.995973154	2.122230336
63	ITGB8	C-F4	Fibroblast	0.94161713	5.40E-173	1.25E-242	0.983333333	0.62885906	5.166380126
64	CRTAC1	C-F4	Fibroblast	0.921551614	3.04E-154	3.98E-227	0.997619048	0.830201342	4.304457127
65	HTRA1	C-F4	Fibroblast	0.918128795	1.97E-151	1.73E-175	1	0.966442953	2.747191938
66	PCSK6	C-F4	Fibroblast	0.908496325	1.23E-178	3.87E-205	0.928571429	0.279865772	5.757484864
67	HBEGF	C-F4	Fibroblast	0.905672739	4.93E-189	1.16E-162	0.897619048	0.223489933	7.136912941
68	THBS4	C-F4	Fibroblast	0.904550975	2.79E-142	5.96E-151	0.99047619	0.82147651	3.515445871
69	TIMP3	C-F4	Fibroblast	0.901810483	5.28E-140	7.70E-191	1	0.948993289	2.893114214
70	APLP2	C-F4	Fibroblast	0.901231224	1.33E-139	3.93E-146	1	0.960402685	1.748088928
71	SMIM14	C-F4	Fibroblast	0.89360179	1.50E-134	2.95E-118	0.988095238	0.873825503	2.509128305
72	NTN4	C-F4	Fibroblast	0.892549537	1.25E-153	4.10E-150	0.907142857	0.374496644	5.178334264
73	CD55	C-F4	Fibroblast	0.88969559	5.66E-137	1.85E-157	0.95952381	0.579194631	4.689720225
74	CLIC5	C-F4	Fibroblast	0.887972995	2.12E-238	1.37E-137	0.811904762	0.066442953	6.26161819
75	C10orf105	C-F4	Fibroblast	0.884252157	1.29E-247	4.08E-134	0.795238095	0.04966443	5.903426117
76	ERRFI1	C-F4	Fibroblast	0.881877597	7.44E-134	1.21E-139	0.935714286	0.531543624	5.140375573
77	CREB5	C-F4	Fibroblast	0.880653563	6.28E-126	1.03E-147	0.997619048	0.888590604	2.613079815
78	BCAT1	C-F4	Fibroblast	0.878358901	8.26E-126	1.43E-146	0.978571429	0.714765101	3.746654187
79	FAM49A	C-F4	Fibroblast	0.873457175	1.89E-135	1.30E-125	0.895238095	0.42147651	4.497931126
80	ITGBL1	C-F4	Fibroblast	0.873331735	1.13E-122	3.98E-157	0.983333333	0.704697987	3.931209596
81	NR4A2	C-M1	Monocyte	0.87211612	1.63E-86	1.53E-76	0.973871734	0.670520231	4.714948077
82	HSPA1A	C-M1	Monocyte	0.820326409	2.09E-64	3.42E-53	0.952494062	0.743737958	3.955488696
83	ATF3	C-M1	Monocyte	0.815944238	1.24E-64	9.06E-71	0.912114014	0.479768786	5.049221795
84	FOSB	C-M1	Monocyte	0.80473366	2.96E-58	4.81E-43	0.988123515	0.853564547	2.845389693
85	JUND	C-M1	Monocyte	0.794317136	1.97E-54	5.82E-42	1	0.924855491	1.906641317
86	RGS2	C-M1	Monocyte	0.793616904	1.44E-56	4.73E-54	0.852731591	0.481695568	4.582793817
87	JUNB	C-M1	Monocyte	0.77992119	1.98E-49	2.73E-27	0.961995249	0.886319846	2.060062443
88	NR4A1	C-M1	Monocyte	0.778934915	4.96E-51	1.45E-53	0.874109264	0.483622351	4.218310367
89	ZFP36	C-M1	Monocyte	0.777964659	5.71E-49	1.79E-32	0.928741093	0.751445087	2.809680386
90	HSP90AA1	C-M1	Monocyte	0.776616827	2.75E-48	1.61E-41	0.997624703	0.976878613	1.806862338
91	CD83	C-M1	Monocyte	0.77646122	3.16E-49	4.26E-47	0.90736342	0.5761079	3.773703487
92	HSPH1	C-M1	Monocyte	0.775156866	2.50E-49	1.63E-39	0.833729216	0.558766859	3.754516439
93	NAMPT	C-M1	Monocyte	0.77074037	2.84E-47	8.36E-37	0.876484561	0.603082852	3.327110097
94	PNRC1	C-M1	Monocyte	0.760383343	4.01E-43	6.20E-20	0.912114014	0.801541426	2.03361038
95	DUSP1	C-M1	Monocyte	0.757548089	3.67E-42	2.13E-35	0.971496437	0.807321773	2.684415233
96	NR4A3	C-M1	Monocyte	0.753900476	1.30E-51	1.17E-51	0.64608076	0.204238921	4.350500138
97	KDM6B	C-M1	Monocyte	0.752909624	3.14E-44	2.62E-39	0.752969121	0.40655106	3.701101085
98	HSPA1B	C-M1	Monocyte	0.752262024	1.23E-42	1.54E-40	0.809976247	0.472061657	3.937290417
99	FOS	C-M1	Monocyte	0.743909583	6.15E-38	3.89E-20	0.976247031	0.921001927	1.636651963
100	DNAJB1	C-M1	Monocyte	0.743106376	1.40E-39	3.56E-33	0.793349169	0.500963391	3.396823181
101	GPNMB	C-M2	Monocyte	0.812513528	1.08E-52	2.08E-62	0.971428571	0.66969697	3.760570449
102	VSIG4	C-M2	Monocyte	0.801490801	7.95E-49	9.36E-45	0.967857143	0.743939394	3.012188335
103	HTRA1	C-M2	Monocyte	0.7929329	1.45E-70	9.98E-56	0.692857143	0.118181818	4.641258623
104	PLEC	C-M2	Monocyte	0.792667749	1.22E-49	1.08E-58	0.885714286	0.434848485	4.17500783
105	CD84	C-M2	Monocyte	0.789667208	1.96E-45	9.44E-54	0.971428571	0.686363636	3.211732099
106	CTD-2337J16.1	C-M2	Monocyte	0.780787338	8.20E-53	1.02E-50	0.764285714	0.259090909	4.344634691
107	LGMN	C-M2	Monocyte	0.770911797	8.47E-41	1.02E-46	0.917857143	0.577272727	3.862141639
108	ABCC3	C-M2	Monocyte	0.770156926	2.34E-45	2.85E-48	0.810714286	0.342424242	4.072659572
109	ITGB5	C-M2	Monocyte	0.759385823	1.88E-45	2.38E-44	0.742857143	0.265151515	3.908325325
110	DAB2	C-M2	Monocyte	0.748133117	1.27E-33	3.65E-48	0.985714286	0.740909091	3.045624431
111	TNS1	C-M2	Monocyte	0.747064394	5.20E-36	5.51E-44	0.853571429	0.439393939	3.734774338
112	MERTK	C-M2	Monocyte	0.746036255	4.05E-46	1.56E-40	0.667857143	0.189393939	3.789370681
113	TGFBI	C-M2	Monocyte	0.745822511	6.88E-33	1.05E-34	0.985714286	0.827272727	2.276010984
114	ADORA3	C-M2	Monocyte	0.745689935	7.97E-48	1.53E-41	0.657142857	0.165151515	3.930034869
115	MCOLN3	C-M2	Monocyte	0.744699675	3.35E-66	6.28E-41	0.539285714	0.048484848	3.755998851
116	LILRB5	C-M2	Monocyte	0.743303571	3.42E-38	4.98E-38	0.757142857	0.322727273	3.807835956
117	ANXA2	C-M2	Monocyte	0.742713745	3.81E-32	1.51E-30	0.967857143	0.801515152	2.323964976
118	TIMP2	C-M2	Monocyte	0.740527597	8.20E-32	2.72E-38	0.960714286	0.706060606	2.692721125
119	EMP1	C-M2	Monocyte	0.737738095	1.64E-33	1.09E-36	0.828571429	0.446969697	3.731715356
120	FOLR2	C-M2	Monocyte	0.734199134	2.35E-31	1.56E-51	0.925	0.516666667	3.783832269
121	C1QB	C-M3	Monocyte	0.776743082	9.18E-24	9.15E-25	0.984251969	0.865928659	2.168756999
122	C1QA	C-M3	Monocyte	0.774263688	2.33E-23	1.10E-25	0.992125984	0.87699877	1.988366635
123	B2M	C-M3	Monocyte	0.734544944	1.73E-17	5.33E-18	1	0.998769988	0.603896235
124	CD74	C-M3	Monocyte	0.725460286	2.82E-16	1.13E-19	1	0.998769988	0.516301893
125	HLA-C	C-M3	Monocyte	0.72273392	6.33E-16	1.43E-06	0.968503937	0.94095941	1.027452917
126	TMEM176B	C-M3	Monocyte	0.722031748	2.81E-16	5.98E-13	0.874015748	0.659286593	2.591449915
127	RNASE1	C-M3	Monocyte	0.720825948	1.11E-15	3.17E-19	0.992125984	0.921279213	1.677603801
128	PLTP	C-M3	Monocyte	0.719595936	1.48E-15	4.00E-16	0.968503937	0.843788438	2.221008593
129	TMEM176A	C-M3	Monocyte	0.703988339	1.34E-14	2.98E-13	0.811023622	0.538745387	2.872920546
130	IFI27	C-M3	Monocyte	0.702811595	3.63E-18	2.44E-12	0.622047244	0.300123001	3.551507464
131	C1QC	C-M3	Monocyte	0.699828573	3.58E-13	2.40E-18	0.968503937	0.80196802	2.15760687
132	MARCO	C-M3	Monocyte	0.697479928	3.07E-13	1.42E-12	0.866141732	0.645756458	2.847142816
133	CD14	C-M3	Monocyte	0.691814123	3.36E-12	7.48E-08	0.968503937	0.913899139	1.25201833
134	HLA-B	C-M3	Monocyte	0.684201606	2.33E-11	0.005083131	0.984251969	0.995079951	0.433184049
135	TMSB4X	C-M3	Monocyte	0.683189509	2.99E-11	1.86E-16	1	0.986469865	0.712253724
136	C2	C-M3	Monocyte	0.680961928	2.25E-11	4.39E-09	0.834645669	0.643296433	2.207093017
137	RNA28S5	C-M3	Monocyte	0.668211446	2.14E-10	1.12E-08	0.755905512	0.547355474	2.700596254
138	IFITM3	C-M3	Monocyte	0.664855546	1.64E-09	3.82E-07	0.858267717	0.731857319	1.837911727
139	SERPING1	C-M3	Monocyte	0.663688487	3.62E-10	4.01E-07	0.700787402	0.505535055	2.086821853
140	SDC3	C-M3	Monocyte	0.662884621	1.93E-10	2.55E-08	0.68503937	0.451414514	2.308795239
141	SPP1	C-M4	Monocyte	0.769091831	6.61E-37	1.46E-18	0.633928571	0.167874396	6.308132127
142	S100A10	C-M4	Monocyte	0.752544859	3.63E-18	6.32E-06	0.919642857	0.888888889	1.528798276
143	TMSB10	C-M4	Monocyte	0.735868487	5.01E-16	0.022206942	0.9375	0.964975845	0.625734453
144	MT2A	C-M4	Monocyte	0.727807971	1.13E-20	4.52E-13	0.633928571	0.29468599	3.865232543
145	GAPDH	C-M4	Monocyte	0.727565347	2.38E-15	6.21E-07	0.821428571	0.698067633	2.113043431
146	B2M	C-M4	Monocyte	0.727527605	5.11E-15	4.02E-14	1	0.998792271	0.587106291
147	SH3BGRL3	C-M4	Monocyte	0.726141951	7.06E-15	7.28E-05	0.910714286	0.875603865	1.32657877
148	FN1	C-M4	Monocyte	0.715752243	5.60E-14	2.40E-06	0.794642857	0.692028986	2.36353543
149	ENO1	C-M4	Monocyte	0.712630478	1.64E-13	2.72E-05	0.821428571	0.731884058	1.716421307
150	CSTB	C-M4	Monocyte	0.706489389	9.25E-13	0.000629465	0.8125	0.770531401	1.454430697
151	MALAT1	C-M4	Monocyte	0.695689915	1.70E-11	1.73E-06	1	1	0.57171206
152	SERPINA1	C-M4	Monocyte	0.687537742	1.70E-11	5.19E-08	0.75	0.541062802	2.436537693
153	HLA-B	C-M4	Monocyte	0.6873706	1.17E-10	0.000203561	0.991071429	0.993961353	0.517642826
154	VCAN	C-M4	Monocyte	0.685990338	8.24E-12	5.23E-08	0.6875	0.475845411	2.748527124
155	IFI6	C-M4	Monocyte	0.683558704	6.90E-14	5.30E-09	0.5625	0.307971014	3.070803507
156	TIMP1	C-M4	Monocyte	0.681914251	3.22E-10	0.000308668	0.830357143	0.776570048	1.465895092
157	LCP1	C-M4	Monocyte	0.680312931	3.78E-10	0.000288176	0.8125	0.718599034	1.432154026
158	LY6E	C-M4	Monocyte	0.675541322	8.47E-17	8.85E-10	0.491071429	0.183574879	2.932563551
159	ALDOA	C-M4	Monocyte	0.674635524	1.89E-10	6.31E-05	0.633928571	0.503623188	1.869398602
160	S100A11	C-M4	Monocyte	0.674398292	2.00E-09	0.033778627	0.928571429	0.93236715	0.612110631
161	CD83	C-B1	B cell	0.858428703	4.82E-97	8.28E-162	0.989189189	0.56805293	5.400652639
162	KDM6B	C-B1	B cell	0.850007664	7.12E-100	1.00E-116	0.908108108	0.395085066	5.388750906
163	CXCR4	C-B1	B cell	0.835253921	1.66E-82	6.01E-102	0.994594595	0.829867675	3.432208501
164	NR4A2	C-B1	B cell	0.834219333	1.56E-83	5.13E-153	0.997297297	0.630434783	5.061805203
165	CD69	C-B1	B cell	0.819512849	1.42E-77	9.23E-121	0.967567568	0.571833648	5.235212331
166	YPEL5	C-B1	B cell	0.807736423	1.98E-70	1.89E-64	0.951351351	0.716446125	3.263930821
167	JUNB	C-B1	B cell	0.800891534	7.27E-67	1.05E-53	0.967567568	0.823251418	2.741114611
168	REL	C-B1	B cell	0.80084683	4.78E-71	2.65E-96	0.927027027	0.487712665	4.692007253
169	BTG1	C-B1	B cell	0.800438104	1.51E-66	7.40E-80	0.997297297	0.874291115	2.463132545
170	ZNF331	C-B1	B cell	0.790084555	6.85E-71	3.19E-65	0.810810811	0.387523629	4.947731061
171	NR4A3	C-B1	B cell	0.786031778	2.63E-82	2.40E-71	0.743243243	0.215500945	5.031596717
172	LY9	C-B1	B cell	0.777181577	5.04E-61	2.66E-75	0.894594595	0.480151229	4.530790218
173	SLC2A3	C-B1	B cell	0.776890359	6.02E-64	2.75E-73	0.851351351	0.394139887	4.558373242
174	CD55	C-B1	B cell	0.770667501	9.66E-57	8.36E-57	0.889189189	0.561436673	3.621821962
175	ZBTB10	C-B1	B cell	0.760080213	1.57E-63	1.14E-56	0.737837838	0.283553875	4.337739954
176	DNAJA1	C-B1	B cell	0.758515557	1.32E-50	1.55E-57	0.937837838	0.664461248	3.215072014
177	CXCR5	C-B1	B cell	0.75804169	1.33E-65	2.40E-56	0.713513514	0.247637051	4.406146979
178	NFKBID	C-B1	B cell	0.756958565	1.64E-58	1.61E-62	0.794594595	0.330812854	4.364656516
179	VPS37B	C-B1	B cell	0.753552087	7.14E-61	1.50E-48	0.7	0.290170132	4.038438778
180	CREM	C-B1	B cell	0.750530067	2.64E-54	2.12E-49	0.767567568	0.375236295	4.094742058
181	CD74	C-B2	B cell	0.802368005	1.99E-86	3.28E-92	1	0.997429306	1.443526472
182	MS4A1	C-B2	B cell	0.759706348	3.91E-65	1.96E-87	0.966153846	0.586118252	4.461214631
183	HLA-DPB1	C-B2	B cell	0.742442159	1.06E-56	6.89E-78	0.973846154	0.645244216	4.057705803
184	RPL34	C-B2	B cell	0.739102235	9.76E-55	2.66E-38	0.996923077	0.991002571	0.857731484
185	RPL30	C-B2	B cell	0.735903698	2.49E-53	1.41E-37	0.993846154	0.971722365	1.182912922
186	HLA-DPA1	C-B2	B cell	0.730642674	4.42E-51	1.60E-55	0.990769231	0.863753213	2.457010214
187	TMSB4X	C-B2	B cell	0.725445917	7.00E-49	9.28E-33	0.969230769	0.888174807	1.805731957
188	RPS29	C-B2	B cell	0.725228396	9.02E-49	2.52E-24	0.986153846	0.976863753	0.948551248
189	HLA-DRA	C-B2	B cell	0.724444335	1.41E-48	3.59E-79	0.998461538	0.740359897	3.885111064
190	RPS21	C-B2	B cell	0.721230967	4.06E-47	5.51E-28	0.990769231	0.974293059	0.986541355
191	RPL11	C-B2	B cell	0.720452838	8.46E-47	1.57E-22	0.990769231	0.983290488	0.790582188
192	RPL38	C-B2	B cell	0.71751928	1.31E-45	1.18E-19	0.976923077	0.958868895	0.998877589
193	RPLP2	C-B2	B cell	0.716067827	5.03E-45	4.16E-28	0.993846154	0.985861183	0.853006665
194	RPS6	C-B2	B cell	0.708666205	4.12E-42	2.31E-28	0.998461538	0.985861183	0.748326339
195	RPL37	C-B2	B cell	0.703512952	3.84E-40	1.92E-16	0.98	0.973007712	0.817459247
196	SELL	C-B2	B cell	0.702773383	2.15E-42	4.57E-37	0.753846154	0.4781491	3.008058691
197	LTB	C-B2	B cell	0.702568717	1.98E-42	4.99E-44	0.773846154	0.451156812	3.455286507
198	RPS12	C-B2	B cell	0.700942258	3.54E-39	1.89E-20	0.990769231	0.979434447	0.799970369
199	1-Mar	C-B2	B cell	0.696652165	1.21E-42	3.02E-42	0.683076923	0.350899743	3.205060388
200	RPS13	C-B2	B cell	0.692465889	4.36E-36	7.24E-11	0.961538462	0.951156812	0.774987084
201	ITGAX	C-B3	B cell	0.934586621	2.05E-111	5.32E-26	0.905660377	0.051636364	7.345557436
202	ZEB2	C-B3	B cell	0.850586621	1.49E-32	3.68E-19	0.867924528	0.199272727	5.890940834
203	CD52	C-B3	B cell	0.836288165	2.26E-17	6.46E-17	0.962264151	0.653818182	3.934876538
204	ACTB	C-B3	B cell	0.832246998	2.01E-16	4.07E-07	0.962264151	0.916363636	1.935522205
205	HLA-DPB1	C-B3	B cell	0.829379074	2.76E-16	1.12E-50	1	0.786909091	3.377305236
206	TMSB4X	C-B3	B cell	0.823259005	1.26E-15	4.51E-11	0.981132075	0.922909091	2.051401535
207	LRMP	C-B3	B cell	0.822017153	7.79E-18	3.34E-23	0.962264151	0.458909091	4.918735388
208	ARPC1B	C-B3	B cell	0.820089194	6.07E-17	4.20E-24	0.962264151	0.513454545	4.435688296
209	ARPC2	C-B3	B cell	0.815066895	6.18E-15	1.52E-11	0.981132075	0.879272727	1.954683296
210	PLEK	C-B3	B cell	0.813989708	1.20E-19	2.06E-13	0.830188679	0.338181818	4.72256191
211	ACTG1	C-B3	B cell	0.810765009	1.44E-14	1.13E-19	1	0.882181818	2.423356821
212	SH3BGRL3	C-B3	B cell	0.810037736	1.15E-14	1.23E-10	0.943396226	0.755636364	2.84266992
213	CD19	C-B3	B cell	0.803183533	1.51E-15	1.68E-14	0.905660377	0.497454545	4.152203898
214	ARPC5	C-B3	B cell	0.800185249	2.39E-19	3.34E-12	0.79245283	0.298909091	4.481165606
215	COTL1	C-B3	B cell	0.798284734	5.26E-16	7.84E-15	0.886792453	0.427636364	4.365983681
216	SAMD9L	C-B3	B cell	0.795698113	4.82E-18	1.56E-14	0.849056604	0.321454545	4.689734118
217	ARL6IP5	C-B3	B cell	0.793728988	2.78E-14	4.02E-15	0.924528302	0.541090909	3.900083889
218	RFTN1	C-B3	B cell	0.783492281	5.80E-26	9.14E-11	0.679245283	0.157818182	4.562111434
219	IFI44L	C-B3	B cell	0.781536878	5.33E-53	1.43E-10	0.603773585	0.053818182	5.123174197
220	LAPTM5	C-B3	B cell	0.781049743	2.37E-12	7.78E-18	0.981132075	0.736	3.257385132
221	MZB1	C-B4	B cell	0.995493745	2.42E-249	0	0.997183099	0.100652377	10.09090773
222	XBP1	C-B4	B cell	0.993537928	3.06E-235	0	0.994366197	0.137931034	10.26141588
223	FKBP11	C-B4	B cell	0.988047202	2.56E-240	0	0.983098592	0.109972041	9.656240578
224	SSR4	C-B4	B cell	0.985973249	3.11E-193	0	0.985915493	0.31220876	8.654803939
225	HSP90B1	C-B4	B cell	0.979576808	3.69E-164	1.40E-227	0.997183099	0.685927307	5.624561377
226	DERL3	C-B4	B cell	0.97551291	3.45E-223	0	0.971830986	0.129543336	9.094584551
227	SEC11C	C-B4	B cell	0.972869275	2.16E-195	0.00E+00	0.969014085	0.237651445	8.219776162
228	FKBP2	C-B4	B cell	0.967635824	8.17E-204	1.82E-297	0.963380282	0.178005592	8.15368563
229	RRBP1	C-B4	B cell	0.964310936	5.58E-229	1.27E-255	0.952112676	0.087604846	8.588584077
230	HDLBP	C-B4	B cell	0.95676857	1.73E-191	3.92E-277	0.96056338	0.192917055	7.638649833
231	SEL1L	C-B4	B cell	0.953053831	1.23E-191	1.14E-240	0.946478873	0.182665424	7.847404307
232	PRDX4	C-B4	B cell	0.951103265	3.51E-230	6.13E-196	0.915492958	0.064305685	8.37267491
233	FNDC3B	C-B4	B cell	0.950965438	8.93E-234	1.42E-205	0.923943662	0.053122088	8.001761941
234	SLAMF7	C-B4	B cell	0.949381096	6.71E-202	5.73E-249	0.946478873	0.129543336	8.145657684
235	SDF2L1	C-B4	B cell	0.947227072	2.27E-230	9.70E-195	0.915492958	0.054986021	7.883953848
236	SDC1	C-B4	B cell	0.945759553	5.47E-256	2.46E-168	0.895774648	0.010251631	8.149557175
237	LMAN1	C-B4	B cell	0.94259743	3.37E-176	3.37E-252	0.954929577	0.214352283	7.265336561
238	NUCB2	C-B4	B cell	0.938624102	5.52E-225	1.93E-177	0.901408451	0.052190121	7.776967556
239	SSR3	C-B4	B cell	0.938494152	1.38E-186	1.95E-212	0.929577465	0.15750233	7.307046386
240	ITM2C	C-B4	B cell	0.936345379	4.88E-174	2.22E-189	0.923943662	0.209692451	7.534687077
241	MALAT1	C-T1	T cell	0.745551608	4.28E-48	4.26E-37	1	1	0.586021174
242	RNA28S5	C-T1	T cell	0.620735602	1.70E-16	3.23E-11	0.497206704	0.348039216	2.029769427
243	XIST	C-T1	T cell	0.615914086	3.14E-12	2.04E-08	0.796089385	0.681372549	1.4813849
244	NKTR	C-T1	T cell	0.591447927	5.25E-08	0.376725489	0.796089385	0.824754902	0.206023394
245	COL3A1	C-T1	T cell	0.578160087	7.90E-08	3.44E-06	0.458100559	0.346813725	1.368247627
246	DDX17	C-T1	T cell	0.575694559	6.82E-06	0.184529924	0.782122905	0.865808824	-0.311482111
247	PNISR	C-T1	T cell	0.57108271	2.27E-05	0.916363096	0.75698324	0.802083333	0.025876642
248	TRAF3IP3	C-T1	T cell	0.563002348	2.04E-05	0.00677681	0.427374302	0.378676471	0.696735301
249	DGKA	C-T1	T cell	0.557787169	0.000410915	0.722642935	0.583798883	0.619485294	0.095600997
